Symbol,Nazwa,SUM z Stan
2021021735502,balon 5 złota 1735-50,3
2112345602301,gwiazda świecąca na spręzynie,9
2144012419394,peruka biało czerwona,5
2229001530585,kapelusz 3058,8
2281304800109,rura rozciągana świecąca,1
2410888824106,zestaw balonów,2
3300133300136,spinka do włosów 330013,4
3300153300154,spinka do włosów 330015,3
3301863301868,spinki jednorożec 330185,3
3301913301916,spinka tęcza 330191,12
3301953301952,gumka warkocz 330195,6
3303463303464,opaska kiss kiss,24
3308383308384,spinki serca 330838,7
3308403308400,gumka warkoczyki 330840,7
3308413308414,spinki motyle 330841,9
3308563308562,spinki motyle niebieskie 330856,11
3308573308576,spinki 330857,15
3308583308580,gumka warkocz niebieska 330858,8
3314293314292,korona srebrna,1
3660380077824,Balon foliowy 18 urodziny Rose Gold 45 cm,1
3760001677379,zabawka Olaf,1
3853888838534,opaska kwiaty,2
4009775313748,serwetki Ben10,2
4009775313847,obrus Ben 10,2
4009775342441,Świeczka 0,10
4009775343240,świeczka kwiatki''8'',6
4009775344148,świeczka''7''pociąg,7
4009775344346,Świeczka 9,6
4009775409144,kubeczki Tomek,1
4009775409243,serwetki Tomek,1
4009775409847,Zaproszenia 6szt Tomek,6
4009775452140,talerzyki 23cm,4
4009775452447,serwetki Angry,2
4009775453345,konfetti angry birds,2
4012221113434,"woreczki zo organzy ""18""",2
4012221113472,"woreczki zo organzy ""40""",2
4012221113496,"woreczki zo organzy ""50""",8
4012221126861,naszyjnik hot 30,1
4012221126885,naszyjnik hot 50,2
4012390407648,kubek ceramiczny 40764,10
4015864043045,krawat premium,11
4029811239467,krawat na panieńskie,5
4032037654068,kula panda,58
4058653100208,papier,17
4330725314127,serce na sprężynie świecące małe 31412,9
4330725330738,korona złota,1
4350403605811,warkocz na gumce 60581,11
4350403606610,Strój szkielet,23
4350403606795,Strój dynia,10
4350403607761,miecz,3
4350403609062,opaska swiecaca uszy myszki,27
4350403690244,korona srebrna,1
4402604402604,hawaje wianek 12szt/op 440260,41
4897002910965,Kamizelka halloween nietoperz 1szt.,5
4932538039640,Balon foliowy happy Birthday,1
5026281978918,balon ''80'',1
5055192350636,czapka z daszkiem,6
5055192350780,czapka z daszkiem,3
5060495971846,dekoracja dla chłopca,2
5060495973550,topper glitz and glamour,2
5060495973574,topper glitz and glamour,2
5060705220801,Pokemon TCG Stellar Crown,7
5061039221038,sky pluszak,1
5101667819624,Kubek Świąteczny 781962,16
5101667819679,Kubek Świąteczny 781967,12
5101667819853,Kubek Świąteczny 781985,9
5101667819877,Kubek Świąteczny 781987,8
5101667819907,Kubek Śiwąteczny 781990,11
5101667819945,Kubek Świąteczny 781994,4
5101667819969,Kubek Świąteczny 781996,6
5101667819976,Kubek Świąteczny 781997,6
5101667820002,Kubek Świąteczny 782000,25
5101667820057,Kubek Świąteczny 782005,7
5101667820064,Kubek Świąteczny 782006,7
5188888883955,zestaw balonowy słonik,129
5188888883962,balon celebrate,113
5188888883979,balon aged,109
5188888883986,balon lets party,116
5188888883993,balon cheers,108
5188888884013,balon lampka wina,132
5188888884020,balon butelka wina,130
5188888884051,Zestaw balonów It's a boy,27
5188888884075,Zestaw balonów pierwsze urodziny różowy,19
5188888884082,zestaw balonowy tort różowy,59
5188888884099,zestaw balonowy tort niebieski,60
5188888884105,Zestaw balonów korona -niebieski,30
5188888884112,Zestaw balonów korona-różowy,16
5188888884129,Zestaw balonów jednorożec,14
5188888884150,Zestaw Celebrate złoty,178
5188888884167,Zestaw balonów szampan HB,33
5188888884174,zestaw balonowy celebrate,58
5188888884181,zestaw balonowy happy różowy,10
5188888884198,zestaw balonowy szampan,52
5188888884204,Zestaw balonów świnka HB,129
5188888884259,zestaw balonowy małpka,130
5188888884266,Zestaw Zyrafa balony,45
5188888884273,Zestaw balonów dinozaur,9
