Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5900779170971,balon tęcza,Podstawowa,2,szt.,"4,63",,"9,26",,23
T,5900779171015,Balon foliowy chmurka,Podstawowa,5,szt.,"3,95",,"19,75",,23
T,5900779171022,Balon foliowy renifer,Podstawowa,3,szt.,"7,32",,"21,96",,23
T,5900779172593,topper 18,Podstawowa,7,szt.,"4,2",,"29,4",,23
T,5900779172616,"Topper na tort ""30"" złoty",Podstawowa,3,szt.,"5,08",,"15,24",,23
T,5900779172623,"Topper na tort ""40"" złoty",Podstawowa,6,szt.,"4,2",,"25,2",,23
T,5900779172630,toper cyfra 50,Podstawowa,5,szt.,"4,2",,21,,23
T,5900779172647,"Topper na tort ""60"" złoty",Podstawowa,4,szt.,"4,2",,"16,8",,23
T,5900779173125,cyfra stojąca ''0'',Podstawowa,2,szt.,"5,7",,"11,4",,23
T,5900779173149,cyfra stojąca ''2'',Podstawowa,1,szt.,"5,7",,"5,7",,23
T,5900779173156,cyfra stojąca ''3'',Podstawowa,1,szt.,"5,7",,"5,7",,23
T,5900779173163,cyfra stojąca ''4'',Podstawowa,2,szt.,"5,7",,"11,4",,23
T,5900779173170,cyfra stojąca ''5'',Podstawowa,1,szt.,"5,7",,"5,7",,23
T,5900779174962,Woreczki z organzy błękitne,Podstawowa,4,szt.,"3,61",,"14,44",,23
T,5900779175006,Woreczki z organzy różowe,Podstawowa,5,szt.,"3,61",,"18,05",,23
T,5900779175761,balon korona,Podstawowa,3,szt.,"1,15",,"3,45",,23
T,5900779175808,balon gratulacje,Podstawowa,4,szt.,"3,2",,"12,8",,23
T,5900779180031,zestaw balonów,Podstawowa,1,szt.,"4,4",,"4,4",,23
T,5900779180048,Zestaw balonów 6szt,Podstawowa,2,szt.,"4,5",,9,,23
T,5900779180055,zestaw balonów Happy....,Podstawowa,1,szt.,"4,6",,"4,6",,23
