Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5201184955406,Kubek-bajka psi patrol,Podstawowa,21,szt.,"10,85",,"227,85",,23
T,5201184955413,Kubeki-bajka,Podstawowa,32,szt.,"10,85",,"347,2",,23
T,5201184956519,Serwetki papierowe Sonic/20szt.,Podstawowa,1,szt.,"4,94",,"4,94",,23
T,5201184958179,Balon foliowy Gabby's Dolhouse,Podstawowa,7,szt.,"2,26",,"15,82",,23
T,5201184959763,Talerz wielokrotnego użytku Gabby's,Podstawowa,4,szt.,"3,41",,"13,64",,23
T,5201184964941,Talerz wielokrotnego użytku czarny,Podstawowa,6,szt.,"1,95",,"11,7",,23
T,5201184967942,Talerzyki papierowe stitch&angel 23cm 8szt.,Podstawowa,2,szt.,"9,41",,"18,82",,23
T,5201184967959,"Kubeczki papierowe Stitch&angel,200ml,8szt.",Podstawowa,1,szt.,"5,8",,"5,8",,23
T,5201184967966,"Serwetki papierowe stitch&angel 33x33,20szt.",Podstawowa,7,szt.,"5,39",,"37,73",,23
T,5201184969144,Czapeczki papierowe stitch&angel Disney 6szt.,Podstawowa,4,szt.,"5,17",,"20,68",,23
T,5201184969168,Balon Stitch 8szt.,Podstawowa,6,szt.,"6,71",,"40,26",,23
T,5201184969182,Balon foliowy stitch,Podstawowa,4,szt.,"3,18",,"12,72",,23
T,5201184969182,Balon foliowy stitch,Podstawowa,3,szt.,"3,53",,"10,59",,23
T,5214796142140,kamizelka odblaskowa PA,Podstawowa,5,szt.,"13,72",,"68,6",,23
T,5214796154365,kieliszki Gold 2 szt.tap BH,Podstawowa,1,szt.,"42,11",,"42,11",,23
T,5214796415527,Koszulka PIZZA BH,Podstawowa,10,szt.,"21,93",,"219,3",,23
T,5214796526391,Kieliszek grawer 2szt. satyna BH,Podstawowa,1,szt.,"29,86",,"29,86",,23
T,5214796528838,Kieliszek grawer satyna BH,Podstawowa,2,szt.,"20,26",,"40,52",,23
T,5214796532095,koszulki w opakowaniu,Podstawowa,5,szt.,"22,68",,"113,4",,23
T,5214796742159,Koszulka Nadruk BH,Podstawowa,25,szt.,"18,91",,"472,75",,23
T,5414391011913,Zestaw balonów He or She,Podstawowa,4,szt.,"5,54",,"22,16",,23
T,553050550556,zestaw balonów party 055055,Podstawowa,16,szt.,"9,6",,"153,6",,23
T,553050550563,zestaw balonów patry 055056,Podstawowa,7,szt.,"9,6",,"67,2",,23
T,553050550570,zestaw balonów party 055057,Podstawowa,6,szt.,"9,6",,"57,6",,23
T,5600461210152,balon drink,Podstawowa,1,szt.,"2,62",,"2,62",,23
T,5645612102312,confetti party popper,Podstawowa,1,szt.,"6,9",,"6,9",,23
T,5805603078198,krawat prasowanka,Podstawowa,4,szt.,"12,47",,"49,88",,23
T,5820170314067,balon boy girl,Podstawowa,1,szt.,0,,0,,23
T,5900053219921,piki drewniane xxl serce,Podstawowa,264,szt.,"1,95",,"514,8",,23
T,5900053409285,SERCA NA PATYKU,Podstawowa,24,szt.,"2,88",,"69,12",,23
T,5900053422055,Gift box świąteczny,Podstawowa,3,szt.,"2,7",,"8,1",,23
T,5900094222041,Brelok Serce,Podstawowa,20,szt.,"2,5",,50,,23
T,5900100446041,Pudełko prezentowe 446041,Podstawowa,17,szt.,"5,2",,"88,4",,23
T,5900100446065,Pudełko prezentowe 446065,Podstawowa,42,szt.,"6,3",,"264,6",,23
T,5900100446072,Pudełko prezentowe serce 446072,Podstawowa,29,szt.,"6,3",,"182,7",,23
T,5900290189513,TG17359 Peruka kibica,Podstawowa,1,szt.,9,,9,,23
T,5900290279795,Sieć pajęcza,Podstawowa,2,szt.,"3,41",,"6,82",,23
T,5900291127064,Skarpety świąteczne duże,Podstawowa,8,szt.,"6,9",,"55,2",,23
T,5900385500681,zest. grillowy,Podstawowa,13,op.,"3,5",,"45,5",,23
T,5900410426658,Strój mikołaja,Podstawowa,1,szt.,"18,3",,"18,3",,23
T,5900643048696,kamizelka odblaskowa PA,Podstawowa,1,szt.,"13,76",,"13,76",,23
T,5900718015356,Baner Happy Birthday czarny,Podstawowa,16,szt.,"3,8",,"60,8",,23
T,5900779100107,Pudełeczka Papierowe,Podstawowa,2,szt.,"5,6",,"11,2",,23
T,5900779100169,Pudełeczka białe thank you 10 szt.,Podstawowa,1,op.,"5,6",,"5,6",,23
T,5900779100183,"Pudełeczka thank you,biały",Podstawowa,1,szt.,"5,6",,"5,6",,23
T,5900779100206,"Pudełeczka serca ,biały",Podstawowa,2,szt.,"5,33",,"10,66",,23
T,5900779100381,gadżety na ślub do zdjęć,Podstawowa,1,szt.,"6,42",,"6,42",,23
T,5900779100404,czapeczki syrenki opalizujące,Podstawowa,3,szt.,"3,29",,"9,87",,23
T,5900779100541,Świeczki urodzinowe Piłki,Podstawowa,2,szt.,"4,75",,"9,5",,23
T,5900779100626,balon serce 45cm różowe złoto,Podstawowa,8,szt.,"1,7",,"13,6",,23
T,5900779100725,Serwetki 40 białe,Podstawowa,5,szt.,"5,49",,"27,45",,23
T,5900779100732,"Serwetki białe""50th""",Podstawowa,3,szt.,"5,49",,"16,47",,23
T,5900779100749,Serwetki urodziny biało zł,Podstawowa,6,szt.,"5,49",,"32,94",,23
T,5900779100756,Serwetki 70 ur biało zł,Podstawowa,5,szt.,"5,79",,"28,95",,23
T,5900779100817,Balon foliowy Flaming,Podstawowa,12,szt.,"5,17",,"62,04",,23
T,5900779100817,Balon foliowy Flaming,Podstawowa,5,szt.,"6,46",,"32,3",,23
T,5900779102545,Pudełeczka złote,Podstawowa,5,szt.,"4,42",,"22,1",,23
T,5900779102576,Balon serce 61cm róż-złoto,Podstawowa,1,szt.,"2,89",,"2,89",,23
T,5900779103535,"Pudełka skrzydła 8,5*14,5*8,5cm",Podstawowa,3,szt.,"5,7",,"17,1",,23
T,5900779103658,Wizytówki na stół -kropki,Podstawowa,5,szt.,"3,85",,"19,25",,23
T,5900779103870,WS8-019ME winietki,Podstawowa,10,szt.,"3,64",,"36,4",,23
T,5900779103870,WS8-019ME winietki,Podstawowa,22,szt.,"4,04",,"88,88",,23
T,5900779104105,"ozdobne pudełka na ciasto ,biały,16x8,5x9,5 cm",Podstawowa,3,szt.,"9,57",,"28,71",,23
T,5900779104167,Tatuaże zmywalne róz,Podstawowa,2,szt.,"3,96",,"7,92",,23
T,5900779104594,Szarfa BrideSquad,Podstawowa,2,szt.,0,,0,,23
T,5900779104822,Drewniane numery na stół,Podstawowa,1,szt.,"23,37",,"23,37",,23
T,5900779105089,Pudełko na Porady,Podstawowa,1,szt.,"20,29",,"20,29",,23
T,5900779105898,Świeczki urodzinowe gładkie jasny niebieskie,Podstawowa,4,szt.,"2,58",,"10,32",,23
T,5900779106031,Tablica rejestracyjna Młoda Para,Podstawowa,5,szt.,"0,81",,"4,05",,23
T,5900779106031,Tablica rejestracyjna Młoda Para,Podstawowa,6,szt.,"1,15",,"6,9",,23
T,5900779106734,ramka do selfie,Podstawowa,3,szt.,"1,95",,"5,85",,23
T,5900779107762,balon foliowy nietoperz czarny,Podstawowa,1,szt.,"6,18",,"6,18",,23
T,5900779107823,talerzyki złote 18cm,Podstawowa,5,szt.,"2,5",,"12,5",,23
T,5900779109247,Toper dr Baby,Podstawowa,3,szt.,0,,0,,23
